Loc,Year,Env,Plant date,Corrected Strain,Original Strain,Family,FamNo,Set,FamSet,Entry,Test,Name,Plot,R1,Ht (in),Ht (cm),Mat,Days to Mat,Lod,Yld (bu/a),Yld (kg/ha),notes,Moisture,Protein,Oil,Fiber,100 sdwt (g)
IA Beavis,2012,2012_IA,521,IA3023,IA3023,NAM 3,3,A,3A,1,12NAM 3A,IA3023,315,.,.,.,.,.,.,61.2,4116.5,.,7.38,32.49,18.93,4.92,16.5
IA Beavis,2012,2012_IA,521,LD04-11056,LD04-11056,NAM 3,3,A,3A,2,12NAM 3A,LD04-11056,324,.,.,.,.,.,.,63.7,4286.3,.,10.13,32.45,19.79,4.84,16.21
IA Beavis,2012,2012_IA,521,LD04-13265,LD04-13265,NAM 3,3,A,3A,3,12NAM 3A,LD04-13265,319,.,.,.,.,.,.,57.8,3889.7,.,7.9,32.91,18.65,4.93,16.15
IA Beavis,2012,2012_IA,521,U06-100052,U06-100052,NAM 3,3,A,3A,4,12NAM 3A,U06-100052,333,.,.,.,.,.,.,52.4,3525.2,.,7.93,35.25,18.01,4.85,15.5
IA Beavis,2012,2012_IA,521,4J105-3-4,4J105-3-4,NAM 3,3,A,3A,5,12NAM 3A,4J105-3-4,310,.,.,.,.,.,.,48.3,3249.2,.,7.72,33.37,19.54,4.82,16.62
IA Beavis,2012,2012_IA,521,DS11-03003,DS11-03003,NAM 3,3,A,3A,6,12NAM 3A,12NAM3- 1,331,.,.,.,.,.,.,55.9,3760.1,.,8.34,33.44,19.04,4.86,15.59
IA Beavis,2012,2012_IA,521,DS11-03004,DS11-03004,NAM 3,3,A,3A,7,12NAM 3A,12NAM3- 2,318,.,.,.,.,.,.,50.7,3412.4,.,7.87,33.31,19.17,4.84,17.26
IA Beavis,2012,2012_IA,521,DS11-03005,DS11-03005,NAM 3,3,A,3A,8,12NAM 3A,12NAM3- 3,311,.,.,.,.,.,.,64.4,4327.8,.,8.57,32.07,19.85,4.9,19.79
IA Beavis,2012,2012_IA,521,DS11-03006,DS11-03006,NAM 3,3,A,3A,9,12NAM 3A,12NAM3- 4,313,.,.,.,.,.,.,52.9,3555.5,.,7.6,34.64,18.79,4.73,16.44
IA Beavis,2012,2012_IA,521,DS11-03007,DS11-03007,NAM 3,3,A,3A,10,12NAM 3A,12NAM3- 5,338,.,.,.,.,.,.,67,4504,.,7.65,33.23,18.49,4.88,15.8
