Corrected Strain,Yld (kg/ha)
4J105-3-4,-0.4393085119219039
DS11-03003,0.6046744457986287
DS11-03004,-0.10582247023078788
DS11-03005,1.764723623911658
DS11-03006,0.1865908420608702
DS11-03007,2.124774117453168
DS11-03008,0.25381933943610135
DS11-03009,0.8235246606584231
DS11-03010,0.6639336076187412
DS11-03011,0.4013542181744499
DS11-03012,0.7117496209494528
DS11-03013,0.030882285830092376
DS11-03014,-0.5046979318613384
DS11-03015,0.79471244749761
DS11-03016,0.6935631885287974
DS11-03017,0.43037077327257445
DS11-03018,0.6531034849412729
DS11-03019,0.11915800274832845
DS11-03020,1.2687857420585096
DS11-03021,0.03844293751058911
DS11-03022,1.1821447606387587
DS11-03023,1.3143539940788023
DS11-03024,-0.19246345165053866
DS11-03025,0.9305998358092471
DS11-03026,1.0233710753483198
DS11-03027,1.6073803321823938
DS11-03029,0.9026049903976772
DS11-03030,0.9175219518213601
DS11-03031,0.6843678013498145
DS11-03032,1.174584108958262
DS11-03034,0.2480977651914005
DS11-03036,-0.1973676581459964
DS11-03037,1.0362446173988964
DS11-03038,-0.4818116348825357
DS11-03039,-0.00283413382617849
DS11-03041,-0.9041864193038204
DS11-03044,-0.3183380850339497
DS11-03045,0.013921905033301206
DS11-03047,0.22807225533494926
DS11-03048,-0.697188036808048
DS11-03050,-1.6083487352766046
DS11-03052,0.6138698329776118
DS11-03055,0.40380632142217926
DS11-03057,0.04845569243881519
DS11-03058,-0.3504197691917353
DS11-03059,-0.3902664469673281
DS11-03064,0.46388285099153387
DS11-03065,0.23890237801241754
DS11-03066,-0.01815977912448343
DS11-03067,-0.4284783892444347
DS11-03070,0.267101565361299
DS11-03071,0.15062666109418146
DS11-03072,0.23420251345427123
DS11-03074,0.48329533503605343
DS11-03075,0.64962967200699
DS11-03076,-2.32681498686114
DS11-03077,-0.48222031875715776
DS11-03078,-0.48855491881379026
DS11-03079,0.043347144006046875
DS11-03080,-0.41335708588344033
DS11-03081,-1.0682729949643381
DS11-03082,0.8084033572974296
DS11-03083,0.39522396005512794
DS11-03084,0.549502122724731
DS11-03085,-0.6150425780091339
DS11-03086,0.7565005052205034
DS11-03088,1.8258218631675662
DS11-03089,0.9428603520478911
DS11-03104,0.36232490814810014
DS11-03106,0.7708044408322546
DS11-03108,-0.4767030864497674
DS11-03109,-0.14730388350486695
DS11-03110,-0.25151827153334055
DS11-03111,-1.1432664859573776
DS11-03112,0.2029381970457288
DS11-03113,0.7585439245936108
DS11-03115,0.28324457840884704
DS11-03116,0.20865977129042967
DS11-03119,0.8789013256696324
DS11-03120,0.0247520277107704
DS11-03122,0.10526275101119828
DS11-03123,0.07604185397576409
DS11-03124,-0.9793842522341695
DS11-03126,0.46817403167506
DS11-03128,0.08891539602633967
DS11-03129,-0.03450713410934203
DS11-03130,-0.2658222071450918
DS11-03131,-0.06679316020443814
DS11-03132,1.0442139529540142
DS11-03133,0.06786817648333478
DS11-03134,-0.3164990075981529
DS11-03135,0.9214044486302642
DS11-03138,0.3406646627931627
DS11-03142,-0.3825014533495199
DS11-03143,0.31083073994579596
DS11-03144,0.42097104415628006
DS11-03145,-0.38597526628380197
DS11-03147,0.9949675460621279
DS11-03148,0.33473874661115127
DS11-03149,-0.37800593072868416
DS11-03151,1.312719258580318
DS11-03154,0.6244956137177704
DS11-03157,0.008609014663222345
DS11-03158,-2.9490361859723206
DS11-03160,0.8674581771802307
DS11-03161,0.8803317192308071
DS11-03162,0.7466920922295879
DS11-03163,-0.08579696037433664
DS11-03164,-4.138714944995406
DS11-03165,-0.188376612904324
DS11-03166,-1.6629080325385697
DS11-03168,0.6379821815802785
DS11-03169,-0.16324255461510354
DS11-03170,-0.19941107751910375
DS11-03171,0.399106456864032
DS11-03172,-0.6144295521972013
DS11-03173,-1.1077109888653098
DS11-03174,1.0820172113564999
DS11-03175,0.8445718802014289
DS11-03176,-0.5445446096369312
DS11-03177,0.3155306045039422
DS11-03178,-3.4570302421268013
DS11-03180,-1.624287406386841
DS11-03181,-0.3070992784818594
DS11-03183,-0.8982605031218089
DS11-03185,-1.9636993642599685
DS11-03186,-1.2170339253265516
DS11-03188,-3.142548000605584
DS11-03189,0.4156581537862012
DS11-03190,-0.5596659129979247
DS11-03195,0.40462368917142144
DS11-03196,0.1679957257655937
DS11-03197,-0.6080949521405689
DS11-03198,-2.933301856799394
DS11-03199,-0.38495355659724834
DS11-03200,-0.27379154270021056
DS11-03202,-1.664542768037056
DS11-03203,-1.5241598571045822
5M20-2-5-2,-1.1443356975729608
DS11-04002,-0.3122423380785352
DS11-04003,-1.3360114272403905
DS11-04006,-1.7870011238033072
DS11-04007,-0.42647126439419947
DS11-04008,-1.0182547538578186
DS11-04009,-2.8502088225875655
DS11-04010,-0.5100484215732812
DS11-04012,-0.46182297146505735
DS11-04013,-0.1332360063208936
DS11-04015,-1.257542898250739
DS11-04016,-0.3336985764741429
DS11-04017,-0.7799883351027842
DS11-04023,-1.1427009365523437
DS11-04027,-3.0541452599096277
DS11-04028,-0.42974078643543473
DS11-04029,-1.4171364428885451
DS11-04030,-0.3762023630102044
DS11-04032,-1.3907759214310849
DS11-04033,0.4440389790847433
DS11-04035,-0.25849956952572684
DS11-04036,0.05251371464679648
DS11-04037,-0.5404958455822858
DS11-04039,-0.7759014325512399
DS11-04040,-0.7250194957845127
DS11-04041,-0.1984221020180259
DS11-04043,-0.936516702826932
DS11-04044,-0.3872369998993733
DS11-04045,-0.16184432418170394
DS11-04047,-0.2836340202177249
DS11-04048,-0.666168099042274
DS11-04049,-0.6608551257252665
DS11-04050,-0.0835801403196296
DS11-04051,-2.8716650609831733
DS11-04053,-1.4385926812841527
DS11-04054,1.1210343867480623
DS11-04055,0.3490184947613376
DS11-04056,1.5370810664952752
DS11-04058,0.7423828653474795
DS11-04059,0.6639143363578283
DS11-04060,0.8177862174234727
DS11-04061,0.8186035979337818
DS11-04062,-0.17982669540849844
DS11-04063,0.43341303245072843
DS11-04064,0.8545683403873717
DS11-04068,-0.14365760782733147
DS11-04069,0.06743090895993367
DS11-04072,-1.059736814755994
DS11-04073,0.4093003073966165
DS11-04074,0.8523205439840225
DS11-04075,0.9491801344556233
DS11-04078,0.267893479113183
DS11-04079,0.015935936810474522
DS11-04080,0.8294338896953737
DS11-04082,0.18574673782714135
DS11-04084,0.19800744548177435
DS11-04085,0.053535440284682566
DS11-04089,0.4975774025099746
DS11-04090,0.46181700518396174
DS11-04091,-0.04291545993176331
DS11-04092,0.8230991907404802
DS11-04094,0.5539766577212862
DS11-04095,1.2467066402080507
DS11-04096,0.17328168504493133
DS11-04097,0.23642432946629144
DS11-04098,-0.3745676019895863
DS11-04099,1.0881348212081308
DS11-04100,0.7174527597830596
DS11-04101,0.22109844489800018
DS11-04104,0.4842949692174556
DS11-04112,0.7530088119814954
DS11-04114,0.9064720027919849
DS11-04115,0.011235998876199096
DS11-04116,0.8010299169621413
DS11-04119,-0.4787836170539667
DS11-04120,-0.06151086654129076
DS11-04121,-0.8247399180421948
DS11-04122,-1.1978741209981922
DS11-04124,0.48409062408987763
DS11-04127,0.2885323369984817
DS11-04129,0.8153340758925465
DS11-04130,-0.6232556222510585
DS11-04132,1.2430284279116603
DS11-04133,1.829498944058272
DS11-04135,0.1256692703194404
DS11-04137,0.2885323369984817
DS11-04138,0.43852166064015885
DS11-04140,-1.2346562439620912
DS11-04142,0.20413779930909084
DS11-04143,0.4093003073966165
DS11-04145,-1.281042587922119
DS11-04146,-0.34146369132207754
DS11-04147,0.38784406900100876
DS11-04148,0.5002338891684779
DS11-04149,0.27954115138508395
DS11-04152,0.41992625403063233
DS11-04153,0.4007178120383738
DS11-04155,-1.1304402288977107
DS11-04156,-0.2298912516649165
DS11-04157,-1.577343022909083
DS11-04158,-0.15142272267526607
DS11-04160,-0.036580760976869776
DS11-04162,0.6428667882173755
DS11-04163,0.8010299169621413
DS11-04164,-0.06028479577582672
DS11-04165,1.683596522968139
DS11-04167,0.20107262239543258
DS11-04168,1.6482448158972813
DS11-04169,-0.7793752997200522
DS11-04170,-1.651315959092036
DS11-04171,1.8648506511291298
DS11-04172,0.846190190156706
DS11-04173,1.5889847288998884
DS11-04174,1.7998689005595756
DS11-04175,0.1385430133568045
DS11-04177,0.5051381722303313
DS11-04178,-1.8307309811048318
DS11-04179,1.9829621348687616
DS11-04181,1.0997824934800315
DS11-04184,-0.7448409731595024
DS11-04185,1.634145002094453
DS11-04187,-0.35454177948701865
DS11-04191,-2.204886909698715
DS11-04192,0.9173022945535768
DS11-04194,1.632510241073835
DS11-04195,1.4206043437762617
DS11-04201,-1.2285258901347746
DS11-04204,1.7551173176201649
DS11-04206,1.0865000601875126
DS11-04207,0.6512449384480412
DS11-04208,-0.7879577950782959
DS11-04211,0.08827411197280939
DS11-04212,0.7429959007302116
DS11-04214,-1.847282936438586
DS11-04222,0.4943078804687384
DS11-04223,-0.7143935491504979
DS11-04225,-0.6559508426634132
CL0J095-4-6,0.2428334560317497
DS11-05001,0.6624700914345873
DS11-05002,-0.10101329274890256
DS11-05004,-0.6108000038181283
DS11-05006,0.17448959335841102
DS11-05007,0.6723094802241337
DS11-05008,0.20347590087356168
DS11-05009,-1.0660711824047293
DS11-05012,-0.7264793044519902
DS11-05015,-0.1791965442117876
DS11-05016,-0.0720269852337507
DS11-05017,-0.20313019261879353
DS11-05018,2.523976078646159
DS11-05021,1.6139655803264443
DS11-05023,1.2413984534573856
DS11-05025,0.4172831599761482
DS11-05027,-0.979112259859275
DS11-05028,0.3827123344993618
DS11-05029,-1.2176509556491002
DS11-05030,0.604763405831028
DS11-05035,-0.1534013898175706
DS11-05037,-0.28663203261657
DS11-05039,-0.927787880497584
DS11-05040,-0.6996204323507949
DS11-05041,0.23778079692360374
DS11-05042,0.049502762788491216
DS11-05043,-0.5528273887878246
DS11-05044,-2.537458700582105
DS11-05046,1.0201451704059536
DS11-05048,-0.2751970672665568
DS11-05052,-0.4781012198726174
DS11-05053,0.61433686519383
DS11-05055,0.058544363297803596
DS11-05056,-3.3153022738097975
DS11-05058,-0.18238769733272245
DS11-05059,-0.7472217997380625
DS11-05061,0.17050065195724337
DS11-05063,0.9286654476058419
DS11-05064,-1.275623570679404
DS11-05066,-1.1306920331036459
DS11-05067,-0.03399907720928525
DS11-05068,-0.057400866762802635
DS11-05069,-1.8848678873510767
DS11-05071,-2.174996891929337
DS11-05072,-0.3765161788562149
DS11-05074,-1.6309052848100694
DS11-05075,-0.3765161788562149
DS11-05076,0.02397353782101726
DS11-05078,1.4942973382914146
DS11-05079,0.65794929117993
DS11-05080,0.07290455234200739
DS11-05081,0.3050609418899653
DS11-05083,-0.7972165319660297
DS11-05084,0.1837971232944689
DS11-05085,-1.297163854245709
DS11-05086,-2.182708845304928
DS11-05089,0.8560667141045901
DS11-05090,-1.4498073451970581
DS11-05091,-0.7682302244508779
DS11-05093,-0.7682302244508779
DS11-05094,-0.6626562420333078
DS11-05095,-2.9203970750941997
DS11-05096,0.07290455234200739
DS11-05098,0.04391824482685553
DS11-05108,-0.878059077696361
DS11-05110,0.9257402239116524
DS11-05111,-0.7424350700566608
DS11-05113,0.8220277474812935
DS11-05114,-0.04516811313255541
DS11-05117,1.083968232824636
DS11-05118,-0.5887278613983334
DS11-05119,-0.017511452751126096
DS11-05121,1.4618539482285848
DS11-05122,1.498020350265838
DS11-05123,-0.20711913401996118
DS11-05124,0.9948818748652252
DS11-05125,-0.19329080382924713
DS11-05126,-0.33609490599104863
DS11-05127,-0.13319075338498806
DS11-05128,0.4545132797203796
DS11-05129,0.2335259260956918
DS11-05130,-1.3498178807411225
DS11-05133,-0.4299679936318613
DS11-05134,2.3245290085877763
DS11-05135,-1.8032275533405124
DS11-05136,0.9916907217442903
DS11-05137,-0.060060161030247736
DS11-05138,0.9363774009814329
DS11-05139,-0.3270533054817363
DS11-05140,0.13965283845487922
DS11-05141,0.37712781653772737
DS11-05142,-0.15632661351175997
DS11-05143,-0.9003971495429002
DS11-05145,0.3571831095318891
DS11-05146,-0.0962265630675009
DS11-05147,-0.4754419256051723
DS11-05148,0.19363651208401528
DS11-05149,-0.9836330601139311
DS11-05150,0.8462273253150436
DS11-05151,-0.8477431230474867
DS11-05152,-0.3874192853527396
DS11-05153,0.8563326435313343
DS11-05155,0.7079440234078983
DS11-05156,0.8706928325755381
DS11-05157,-1.151434528389718
DS11-05158,1.2687891844120707
DS11-05160,-0.45177420662491063
DS11-05165,-0.5336804700622203
DS11-05166,0.3531941681307214
DS11-05169,1.580192543129892
DS11-05170,-0.3126931164375325
DS11-05171,-0.669836336555409
DS11-05172,0.6356112193333908
DS11-05173,0.8012852521952212
DS11-05174,-0.6802075841984452
